Xilinx, IO,Index,sysio,pad_mux=0,pad_mux=1,pad_mux=2,pad_mux=3
jb[7],IO_0,0,jtag_tck,,,,
jb[6],IO_1,1,jtag_tdi,,,,
jb[5],IO_2,2,jtag_tdo,,,,
jb[4],IO_3,3,jtag_tms,,,,
sw[0],IO_4,4,jtag_trst,,,,
CLK100MHZ,IO_5,5,ref_clk,,,,
ck_rst,IO_6,6,rstn,,,,
uart_txd_in,IO_7,7,,uart0_rx,,apbio_0,fpgaio_0
uart_rxd_out,IO_8,8,,uart0_tx,,apbio_1,fpgaio_1
jb[1],IO_9,9,,uart1_tx,,apbio_2,fpgaio_2
jb[2],IO_10,10,,uart1_rx,,apbio_3,fpgaio_3
jb[0],IO_11,11,,apbio_32,uart1_tx,apbio_4,fpgaio_4
jb[3],IO_12,12,,apbio_0,uart1_rx,apbio_5,fpgaio_5
vaux4_p,Jxadc[1],13,,qspim0_csn0,apbio_34,apbio_6,fpgaio_6
vaux5_p,Jxadc[2],14,,qspim0_data0,apbio_35,apbio_7,fpgaio_7
vaux6_p,Jxadc[3],15,,qspim0_data1,apbio_37,apbio_8,fpgaio_8
vaux7_p,Jxadc[4],16,,qspim0_clk,apbio_38,apbio_9,fpgaio_9
vaux4_n,Jxadc[7],17,,apbio_1,apbio_40,apbio_10,fpgaio_10
vaux5_n,Jxadc[8],18,,apbio_2,apbio_41,apbio_11,fpgaio_11
vaux6_n,Jxadc[9],19,,qspim0_data2,apbio_42,apbio_12,fpgaio_12
vaux7_n,Jxadc[10],20,,qspim0_data3,apbio_43,apbio_13,fpgaio_13
led[2],IO_21,21,,cam0_vsync,apbio_36,apbio_14,fpgaio_14
jc[1],IO_22,22,,cam0_hsync,apbio_39,apbio_15,fpgaio_15
jc[2],IO_23,23,,i2cm0_scl,,apbio_16,fpgaio_16
jc[3],IO_24,24,,i2cm0_sda,,apbio_17,fpgaio_17
jc[4],IO_25,25,,cam0_clk,apbio_33,apbio_18,fpgaio_18
jc[5],IO_26,26,,apbio_32,qspim0_csn1,apbio_19,fpgaio_19
jc[6],IO_27,27,,apbio_48,qspim0_csn2,apbio_20,fpgaio_20
jc[7],IO_28,28,,apbio_49,qspim0_csn3,apbio_21,fpgaio_21
led[3],IO_29,29,,cam0_data0,,apbio_22,fpgaio_22
jd[1],IO_30,30,,cam0_data1,,apbio_23,fpgaio_23
jd[2],IO_31,31,,cam0_data2,,apbio_24,fpgaio_24
jd[3],IO_32,32,,cam0_data3,,apbio_25,fpgaio_25
jd[4],IO_33,33,,cam0_data4,,apbio_26,fpgaio_26
jd[5],IO_34,34,,cam0_data5,,apbio_27,fpgaio_27
jd[6],IO_35,35,,cam0_data6,,apbio_28,fpgaio_28
jd[7],IO_36,36,,cam0_data7,,apbio_29,fpgaio_29
ja[0],IO_37,37,,sdio0_data3,qspim1_data3,apbio_30,fpgaio_30
ja[1],IO_38,38,,sdio0_cmd,qspim1_csn0,apbio_31,fpgaio_31
ja[2],IO_39,39,,sdio0_data0,qspim1_data0,apbio_32,fpgaio_32
ja[3],IO_40,40,,sdio0_clk,qspim1_clk,apbio_43,fpgaio_33
ja[4],IO_41,41,,sdio0_data1,qspim1_data1,apbio_44,fpgaio_34
ja[5],IO_42,42,,sdio0_data2,qspim1_data2,apbio_45,fpgaio_35
ja[6],IO_43,43,,apbio_50,,apbio_46,fpgaio_36
ja[7],IO_44,44,stm,,,,
sw[1],IO_45,45,bootsel,,,apbio_47,fpgaio_37
ck_scl,IO_46,46,,i2cm1_scl,qspim1_csn1,,fpgaio_38
ck_sda,IO_47,47,,i2cm1_sda,qspim1_csn2,,fpgaio_39
